id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Journal impact factor>
42	beijing .. technology (smsu-c)	<table><tr><td>BEIJING SAMSUNG COMMUNICATION TECHNOLOGY (SMSU-C)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.2931	0.3467	4	2	2	2	1
43	shanghai..t technolog (sstg-c)	<table><tr><td>SHANGHAI SENSETIME INTELLIGENT TECHNOLOG (SSTG-C)</td></tr><tr><td>Peso: 6</td></tr></table>	0.6499	0.5736	4	8	8	8	1
44	beijing .. (beij-non-standard)	<table><tr><td>BEIJING ZHIXIANG ENERGY TECHNOLOGY CO (BEIJ-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.2443	-0.5654	4	1	1	1	1
45	gree ele.. inc zhuhai (grez-c)	<table><tr><td>GREE ELECTRIC APPLIANCES INC ZHUHAI (GREZ-C)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.298	0.0153	4	2	2	2	1
46	zhuhai l..logy co ltd (grez-c)	<table><tr><td>ZHUHAI LEAYUN TECHNOLOGY CO LTD (GREZ-C)</td></tr><tr><td>Peso: 2</td></tr></table>	0.8518	0.2926	4	2	2	2	1
47	softbank corp (sofb-c)	<table><tr><td>SOFTBANK CORP (SOFB-C)</td></tr><tr><td>Peso: 3</td></tr></table>	-0.187	0.1295	18	3	3	3	1
48	softbank mobile corp (sofb-c)	<table><tr><td>SOFTBANK MOBILE CORP (SOFB-C)</td></tr><tr><td>Peso: 1</td></tr></table>	0.5007	0.1298	18	1	1	1	1
49	guangzho..chnology co (guah-c)	<table><tr><td>GUANGZHOU HUADUO NETWORK TECHNOLOGY CO (GUAH-C)</td></tr><tr><td>Peso: 5</td></tr></table>	0.1131	-0.036	4	5	5	5	1
50	guangzho..n technolog (gzcb-c)	<table><tr><td>GUANGZHOU CUBESILI INFORMATION TECHNOLOG (GZCB-C)</td></tr><tr><td>Peso: 2</td></tr></table>	0.7442	0.6273	4	2	2	2	1
51	hitachi ltd (hita-c)	<table><tr><td>HITACHI LTD (HITA-C)</td></tr><tr><td>Peso: 14</td></tr></table>	0.6256	0.1933	10	34	34	34	1
52	univ zhe..u light ind (uzhl-c)	<table><tr><td>UNIV ZHENGZHOU LIGHT IND (UZHL-C)</td></tr><tr><td>Peso: 7</td></tr></table>	0.4293	0.1046	12	7	7	7	1
53	univ chi.. technology (ucst-c)	<table><tr><td>UNIV CHINA SCI & TECHNOLOGY (UCST-C)</td></tr><tr><td>Peso: 15</td></tr></table>	0.3667	0.6812	4	15	15	15	1
54	tojoy ne.. (tojo-non-standard)	<table><tr><td>TOJOY NETWORK TECHNOLOGY GROUP CO LTD (TOJO-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.5228	0.0877	4	1	1	1	1
55	nec corp (nide-c)	<table><tr><td>NEC CORP (NIDE-C)</td></tr><tr><td>Peso: 16</td></tr></table>	0.9325	0.399	18	26	26	26	1
56	laiye te.. (laiy-non-standard)	<table><tr><td>LAIYE TECHNOLOGY BEIJING CO LTD (LAIY-Non-standard)</td></tr><tr><td>Peso: 11</td></tr></table>	-0.2638	-0.1558	4	12	12	12	1
57	beijing .. (beij-non-standard)	<table><tr><td>BEIJING LAIYE NETWORK TECHNOLOGY CO LTD (BEIJ-Non-standard)</td></tr><tr><td>Peso: 4</td></tr></table>	0.394	0.386	4	4	4	4	1
58	gansu qi.. (gans-non-standard)	<table><tr><td>GANSU QILIANSHAN WATER RESOURCE CONSERVA (GANS-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.2534	0.2996	4	1	1	1	1
59	northwes..& resources (cnwe-c)	<table><tr><td>NORTHWEST ECO ENVIRONMENT & RESOURCES (CNWE-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.9533	-0.5019	4	1	1	1	1
