id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Journal impact factor>
2800	hallibur..ervices inc (hall-c)	<table><tr><td>HALLIBURTON ENERGY SERVICES INC (HALL-C)</td></tr><tr><td>Peso: 2</td></tr></table>	0.4443	-0.4702	16	2	2	2	1
2801	zf fried..chshafen ag (zahf-c)	<table><tr><td>ZF FRIEDRICHSHAFEN AG (ZAHF-C)</td></tr><tr><td>Peso: 4</td></tr></table>	0.6998	-0.8044	5	4	4	4	1
2802	he z (hezz-individual)	<table><tr><td>HE Z (HEZZ-Individual)</td></tr><tr><td>Peso: 2</td></tr></table>	0.0439	-0.3634	4	2	2	2	1
2803	mahajan k (maha-individual)	<table><tr><td>MAHAJAN K (MAHA-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.6688	-0.9468	9	1	1	1	1
2804	sangapu s c (sang-individual)	<table><tr><td>SANGAPU S C (SANG-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.0722	-0.422	9	1	1	1	1
2805	goel p (goel-individual)	<table><tr><td>GOEL P (GOEL-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.2283	0.1419	9	1	1	1	1
2806	varma e c (varm-individual)	<table><tr><td>VARMA E C (VARM-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.1151	0.5193	9	1	1	1	1
2807	sharma p (shar-individual)	<table><tr><td>SHARMA P (SHAR-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.6372	-0.4216	9	1	1	1	1
2808	guleria a (gule-individual)	<table><tr><td>GULERIA A (GULE-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.7028	0.2455	9	1	1	1	1
2809	chaudhury a (chau-individual)	<table><tr><td>CHAUDHURY A (CHAU-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.4584	0.1025	9	1	1	1	1
2810	saklani p (sakl-individual)	<table><tr><td>SAKLANI P (SAKL-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.0557	-0.7735	9	1	1	1	1
2811	univ sha..ctric power (uysi-c)	<table><tr><td>UNIV SHANGHAI ELECTRIC POWER (UYSI-C)</td></tr><tr><td>Peso: 6</td></tr></table>	-0.9299	-0.6376	4	6	6	6	1
2812	allen in.. (alle-non-standard)	<table><tr><td>ALLEN INST (ALLE-Non-standard)</td></tr><tr><td>Peso: 5</td></tr></table>	-0.4804	-0.1727	18	5	5	5	1
2813	univ zhejiang wanli (uzwl-c)	<table><tr><td>UNIV ZHEJIANG WANLI (UZWL-C)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.3873	-0.6778	4	2	2	2	1
2814	shenzhen.. (shen-non-standard)	<table><tr><td>SHENZHEN HEILS ZHONGCHENG TECHNOLOGY CO (SHEN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.2775	-0.6481	4	1	1	1	1
2815	beijing ..cation inst (bgco-c)	<table><tr><td>BEIJING GRAPHIC COMMUNICATION INST (BGCO-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.8995	-0.4115	4	1	1	1	1
2816	inspur s..logy co ltd (inei-c)	<table><tr><td>INSPUR SOFTWARE TECHNOLOGY CO LTD (INEI-C)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.8289	-0.712	4	2	2	2	1
2817	barbosa .. a (barb-individual)	<table><tr><td>BARBOSA L D A (BARB-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.9219	0.6176	16	1	1	1	1
2818	bangalore s (bang-individual)	<table><tr><td>BANGALORE S (BANG-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.4706	-0.8306	16	1	1	1	1
2819	rangaraj.. k (rang-individual)	<table><tr><td>RANGARAJAN S V K (RANG-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.396	-0.685	16	1	1	1	1
2820	beijing .. (beij-non-standard)	<table><tr><td>BEIJING BEIMING SHUKE INFORMATION TECHNO (BEIJ-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.7894	0.8765	4	1	1	1	1
2821	brand af.. (bran-non-standard)	<table><tr><td>BRAND AFFINITY TECHNOLOGIES INC (BRAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.1915	-0.0804	16	1	1	1	1
2822	veritone.. (veri-non-standard)	<table><tr><td>VERITONE INC (VERI-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.1651	0.5423	16	1	1	1	1
2823	patni j c (patn-individual)	<table><tr><td>PATNI J C (PATN-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.336	0.2773	9	1	1	1	1
2824	pal r (palr-individual)	<table><tr><td>PAL R (PALR-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.8037	0.172	9	1	1	1	1
2825	dimri p (dimr-individual)	<table><tr><td>DIMRI P (DIMR-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.4724	0.0618	9	1	1	1	1
2826	rawat s (rawa-individual)	<table><tr><td>RAWAT S (RAWA-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.6996	0.9455	9	1	1	1	1
2827	state gr..ower co ltd (sgcc-c)	<table><tr><td>STATE GRID HUNAN ELECTRIC POWER CO LTD (SGCC-C)</td></tr><tr><td>Peso: 6</td></tr></table>	-0.81	0.8331	4	6	6	6	1
2828	electric.. grid hunan (sgcc-c)	<table><tr><td>ELECTRIC POWER RES INST STATE GRID HUNAN (SGCC-C)</td></tr><tr><td>Peso: 2</td></tr></table>	0.4502	-0.6093	4	2	2	2	1
2829	deep far.. (deep-non-standard)	<table><tr><td>DEEP FARM CO LTD (DEEP-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3791	-0.6662	11	1	1	1	1
2830	beijing .. (beij-non-standard)	<table><tr><td>BEIJING BEITOU ECOLOGICAL ENVIRONMENT CO (BEIJ-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.4908	-0.1971	4	1	1	1	1
2831	univ gui..ed hospital (ugzm-c)	<table><tr><td>UNIV GUIZHOU MEDICAL AFFILIATED HOSPITAL (UGZM-C)</td></tr><tr><td>Peso: 1</td></tr></table>	0.6302	0.2437	4	1	1	1	1
2832	shandong.. (shan-non-standard)	<table><tr><td>SHANDONG XUNSHENG NETWORK TECHNOLOGY CO (SHAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.7813	0.1757	4	1	1	1	1
2833	waymo llc (goog-c)	<table><tr><td>WAYMO LLC (GOOG-C)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.5428	0.0955	16	2	2	2	1
2834	inst eng.. (engm-non-standard)	<table><tr><td>INST ENG & MANAGEMENT (ENGM-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.8024	0.1263	9	1	1	1	1
2835	9419-697.. (nine-non-standard)	<table><tr><td>9419-6979 QUEBEC INC (NINE-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.1927	-0.6074	16	1	1	1	1
2836	ufida ne..logy co ltd (ufid-c)	<table><tr><td>UFIDA NETWORK TECHNOLOGY CO LTD (UFID-C)</td></tr><tr><td>Peso: 3</td></tr></table>	-0.7182	0.7248	4	3	3	3	1
2837	china un..roup co ltd (cunc-c)	<table><tr><td>CHINA UNICOM GROUP CO LTD (CUNC-C)</td></tr><tr><td>Peso: 1</td></tr></table>	0.6249	0.1022	4	1	1	1	1
2838	sethumad.. v (seth-individual)	<table><tr><td>SETHUMADHAVAN V (SETH-Individual)</td></tr><tr><td>Peso: 2</td></tr></table>	0.9174	0.2519	18	2	2	2	1
2839	campana m e (camp-individual)	<table><tr><td>CAMPANA M E (CAMP-Individual)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.2273	-0.8154	18	2	2	2	1
2840	rogers r d (roge-individual)	<table><tr><td>ROGERS R D (ROGE-Individual)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.7697	-0.8642	18	2	2	2	1
2841	dastmalc.. s (dast-individual)	<table><tr><td>DASTMALCHI S S (DAST-Individual)</td></tr><tr><td>Peso: 2</td></tr></table>	0.1395	-0.2442	18	2	2	2	1
2842	y2t tech.. (ytwo-non-standard)	<table><tr><td>Y2T TECHNOLOGY CO LTD (YTWO-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.4959	0.4019	4	1	1	1	1
2843	china mo..inst co ltd (cnmo-c)	<table><tr><td>CHINA MOBILE GROUP DESIGN INST CO LTD (CNMO-C)</td></tr><tr><td>Peso: 2</td></tr></table>	0.5097	-0.372	4	2	2	2	1
2844	state gr..ic power co (sgcc-c)	<table><tr><td>STATE GRID XINJIANG ELECTRIC POWER CO (SGCC-C)</td></tr><tr><td>Peso: 3</td></tr></table>	-0.5523	-0.7645	4	3	3	3	1
2845	beijing .. (beij-non-standard)	<table><tr><td>BEIJING MOQIU TECHNOLOGY CO LTD (BEIJ-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.2887	-0.7587	4	1	1	1	1
2846	guangdon.. (guan-non-standard)	<table><tr><td>GUANGDONG RONGHE COMMUNICATION CO LTD (GUAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3245	-0.2015	4	1	1	1	1
2847	sysu-cmu..nt res inst (sycm-c)	<table><tr><td>SYSU-CMU SHUNDE INT JOINT RES INST (SYCM-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.2249	-0.2241	4	1	1	1	1
2848	guangdon.. (guan-non-standard)	<table><tr><td>GUANGDONG SHIKELANG ENVIRONMENTAL PROTEC (GUAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3459	0.7871	4	1	1	1	1
2849	shenzhen.. (shen-non-standard)	<table><tr><td>SHENZHEN YUNZHIPING INFORMATION TECHNOLOGY CO              LTD (SHEN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.1787	-0.0757	4	1	1	1	1
2850	beijing .. (beij-non-standard)	<table><tr><td>BEIJING QINGBO INTELLIGENT TECHNOLOGY CO LTD (BEIJ-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3986	0.2355	4	1	1	1	1
2851	shanghai.. (shan-non-standard)	<table><tr><td>SHANGHAI PUDAI BIOTECHNOLOGY PARTNERSHIP (SHAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.5625	-0.7576	4	1	1	1	1
2852	suzhou j.. (suzh-non-standard)	<table><tr><td>SUZHOU JIAJIABAO MATERNAL & CHILD MEDICAL              TECHNOLOGY CO LTD (SUZH-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.0027	-0.6274	4	1	1	1	1
2853	qiku sof.. (qiku-non-standard)	<table><tr><td>QIKU SOFTWARE SHENZHEN CO LTD (QIKU-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.9685	0.1503	4	1	1	1	1
2854	geju bus.. (geju-non-standard)	<table><tr><td>GEJU BUSINESS SCHOOL EDUCATIONAL TECHNOL (GEJU-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.2937	0.1369	4	1	1	1	1
2855	heyi net.. (heyi-non-standard)	<table><tr><td>HEYI NETWORK TECHNOLOGY BEIJING CO LTD (HEYI-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.0145	0.9412	4	1	1	1	1
2856	qizhi qi..jing co ltd (qiho-c)	<table><tr><td>QIZHI QIHOO SOFTWARE BEIJING CO LTD (QIHO-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.0832	-0.0847	4	1	1	1	1
2857	qizhi so..jing co ltd (qiho-c)	<table><tr><td>QIZHI SOFTWARE BEIJING CO LTD (QIHO-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.4151	-0.5607	4	1	1	1	1
2858	anhui xi.. (anhu-non-standard)	<table><tr><td>ANHUI XINYU ENVIRONMENTAL PROTECTION TEC (ANHU-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.8175	-0.4324	4	1	1	1	1
2859	guangzho.. (guan-non-standard)	<table><tr><td>GUANGZHOU WENJIAN ENG TESTING CO LTD (GUAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.6074	-0.9466	4	1	1	1	1
2860	dev & re..rvey bureau (cgsu-c)	<table><tr><td>DEV & RES CENT GEOLOGIC SURVEY BUREAU (CGSU-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3904	0.4911	4	1	1	1	1
2861	beijing ..er hospital (uypk-c)	<table><tr><td>BEIJING CANCER HOSPITAL (UYPK-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.1219	0.3024	4	1	1	1	1
2862	casic ne.. (casi-non-standard)	<table><tr><td>CASIC NETWORK INFORMATION DEV CO LTD (CASI-Non-standard)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.0163	-0.7303	4	2	2	2	1
2863	china ch.. (chch-non-standard)	<table><tr><td>CHINA CHANGFENG ELECTROMECHANICAL TECHNO (CHCH-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.411	-0.6707	4	1	1	1	1
2864	shanghai.. (shan-non-standard)	<table><tr><td>SHANGHAI ENCOO INFORMATION TECHNOLOGY CO (SHAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.7213	0.139	4	1	1	1	1
2865	jiangsu ..ry res inst (xcmg-c)	<table><tr><td>JIANGSU XCMG CONSTR MACHINERY RES INST (XCMG-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.6132	0.1664	4	1	1	1	1
2866	liu w (liuw-individual)	<table><tr><td>LIU W (LIUW-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.8931	-0.9021	4	1	1	1	1
2867	yun s (yuns-individual)	<table><tr><td>YUN S (YUNS-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.7382	0.3986	11	1	1	1	1
2868	chung n h (chun-individual)	<table><tr><td>CHUNG N H (CHUN-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.3509	-0.0547	11	1	1	1	1
2869	electron..om res inst (etri-c)	<table><tr><td>ELECTRONICS&TELECOM RES INST (ETRI-C)</td></tr><tr><td>Peso: 3</td></tr></table>	-0.558	0.8817	11	3	3	3	1
2870	korea el..om res inst (etri-c)	<table><tr><td>KOREA ELECTRONICS & TELECOM RES INST (ETRI-C)</td></tr><tr><td>Peso: 2</td></tr></table>	0.1815	-0.6794	11	2	2	2	1
2871	nantong ..roup co ltd (ntsj-c)	<table><tr><td>NANTONG SIJIAN CONSTR GROUP CO LTD (NTSJ-C)</td></tr><tr><td>Peso: 1</td></tr></table>	0.9043	0.9666	4	1	1	1	1
2872	shanghai.. (shan-non-standard)	<table><tr><td>SHANGHAI PINLAN DATA TECHNOLOGY CO LTD (SHAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.3673	-0.63	4	1	1	1	1
2873	advanced..devices inc (admi-c)	<table><tr><td>ADVANCED MICRO DEVICES INC (ADMI-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.018	-0.8329	16	1	1	1	1
2874	sugin s (sugi-individual)	<table><tr><td>SUGIN S (SUGI-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.4001	0.2782	9	1	1	1	1
2875	kanchana m (kanc-individual)	<table><tr><td>KANCHANA M (KANC-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.6718	-0.0452	9	1	1	1	1
2876	umamahes.. j (umam-individual)	<table><tr><td>UMAMAHESWARI J (UMAM-Individual)</td></tr><tr><td>Peso: 2</td></tr></table>	0.5788	-0.8018	9	2	2	2	1
2877	prabakar d (prab-individual)	<table><tr><td>PRABAKAR D (PRAB-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.067	0.8762	9	1	1	1	1
2878	babubhai.. h (babu-individual)	<table><tr><td>BABUBHAI J H (BABU-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.7863	0.8706	9	1	1	1	1
2879	sarangi s k (sara-individual)	<table><tr><td>SARANGI S K (SARA-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3013	-0.8539	9	1	1	1	1
2880	yodlee i.. (yodl-non-standard)	<table><tr><td>YODLEE INC (YODL-Non-standard)</td></tr><tr><td>Peso: 3</td></tr></table>	0.5289	-0.1251	16	3	3	3	1
2881	univ guangxi (uygu-c)	<table><tr><td>UNIV GUANGXI (UYGU-C)</td></tr><tr><td>Peso: 2</td></tr></table>	0.4503	-0.3214	4	2	2	2	1
2882	yunnan p..grid co ltd (cspg-c)	<table><tr><td>YUNNAN POWER GRID CO LTD (CSPG-C)</td></tr><tr><td>Peso: 1</td></tr></table>	0.48	-0.1048	4	1	1	1	1
2883	shanghai.. (shan-non-standard)	<table><tr><td>SHANGHAI YINGWUXU DATA TECHNOLOGY CO LTD (SHAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.8186	0.3009	4	1	1	1	1
2884	shanghai.. (shan-non-standard)	<table><tr><td>SHANGHAI SHENGTENG DATA TECHNOLOGY CO (SHAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.1418	0.0548	4	1	1	1	1
2885	shanghai.. (shan-non-standard)	<table><tr><td>SHANGHAI INTSIG INFORMATION TECHNOLOGY (SHAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.9722	0.9169	4	1	1	1	1
2886	shanghai.. (shan-non-standard)	<table><tr><td>SHANGHAI LINGUAN DATA TECHNOLOGY CO LTD (SHAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.243	-0.5029	4	1	1	1	1
2887	tokyugam.. (toky-non-standard)	<table><tr><td>TOKYUGAMI INC (TOKY-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.4509	-0.1075	16	1	1	1	1
2888	china wa.. (chwa-non-standard)	<table><tr><td>CHINA WATER RESOURCES BEIFANG INVESTIGAT (CHWA-Non-standard)</td></tr><tr><td>Peso: 3</td></tr></table>	0.6191	-0.0623	4	3	3	3	1
2889	zhejiang.. (zhej-non-standard)	<table><tr><td>ZHEJIANG LIANXIN TECHNOLOGY CO LTD (ZHEJ-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3858	0.0934	4	1	1	1	1
2890	univ ludong (unld-c)	<table><tr><td>UNIV LUDONG (UNLD-C)</td></tr><tr><td>Peso: 1</td></tr></table>	0.3675	-0.4807	4	1	1	1	1
2891	funlab c.. (funl-non-standard)	<table><tr><td>FUNLAB CO LTD (FUNL-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.5378	-0.0559	11	1	1	1	1
2892	univ sah.. (uysa-non-standard)	<table><tr><td>UNIV SAHMYOOK IND ACAD COOP FOUND (UYSA-Non-standard)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.5239	0.4411	11	2	2	2	1
2893	fangying.. (fang-non-standard)	<table><tr><td>FANGYING JINTAI TECHNOLOGY BEIJING CO (FANG-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.4395	-0.9273	4	1	1	1	1
2894	guangzho.. (guan-non-standard)	<table><tr><td>GUANGZHOU CAS COGNISER TECHNOLOGY CO LTD (GUAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.6764	0.0197	4	1	1	1	1
2895	guangzho.. (guan-non-standard)	<table><tr><td>GUANGZHOU IND INTELLIGENT SOFTWARE RES (GUAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.6281	-0.5948	4	1	1	1	1
2896	fatima r (fati-individual)	<table><tr><td>FATIMA R (FATI-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.5949	0.9408	9	1	1	1	1
2897	math l (math-individual)	<table><tr><td>MATH L (MATH-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.0325	-0.6119	9	1	1	1	1
2898	univ nat cent (unnc-c)	<table><tr><td>UNIV NAT CENT (UNNC-C)</td></tr><tr><td>Peso: 2</td></tr></table>	0.4547	-0.7747	16	2	2	2	1
2899	shenzhen.. (shen-non-standard)	<table><tr><td>SHENZHEN XINJUZHI TECHNOLOGY CO LTD (SHEN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.882	0.2456	4	1	1	1	1
2900	sianez r f (sian-individual)	<table><tr><td>SIANEZ R F (SIAN-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3052	0.9087	16	1	1	1	1
2901	audi ag (nsum-c)	<table><tr><td>AUDI AG (NSUM-C)</td></tr><tr><td>Peso: 5</td></tr></table>	-0.7109	0.389	5	5	5	5	1
2902	srihari p (srih-individual)	<table><tr><td>SRIHARI P (SRIH-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.6162	0.4557	9	1	1	1	1
2903	bindu m g (bind-individual)	<table><tr><td>BINDU M G (BIND-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.5843	0.431	9	1	1	1	1
2904	sonagiri.. v (sona-individual)	<table><tr><td>SONAGIRI C V (SONA-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.7858	0.4676	9	1	1	1	1
2905	marry p (marr-individual)	<table><tr><td>MARRY P (MARR-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.8899	0.9655	9	1	1	1	1
2906	raghava r n (ragh-individual)	<table><tr><td>RAGHAVA R N (RAGH-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.9107	0.2473	9	1	1	1	1
2907	sivaraju s (siva-individual)	<table><tr><td>SIVARAJU S (SIVA-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3334	-0.9709	9	1	1	1	1
2908	venkates.. k (venk-individual)	<table><tr><td>VENKATESAN K (VENK-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.6069	-0.2313	9	1	1	1	1
2909	mahidhar.. v (mahi-individual)	<table><tr><td>MAHIDHAR R V (MAHI-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3486	0.4439	9	1	1	1	1
2910	hangzhou.. (hang-non-standard)	<table><tr><td>HANGZHOU ZOHO INFORMATION TECHNOLOGY CO (HANG-Non-standard)</td></tr><tr><td>Peso: 2</td></tr></table>	0.5902	-0.444	18	2	2	2	1
2911	yellow r..y tech inst (hhsy-c)	<table><tr><td>YELLOW RIVER CONSERVANCY TECH INST (HHSY-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.5706	0.6027	4	1	1	1	1
2912	shanghai.. (shan-non-standard)	<table><tr><td>SHANGHAI LEDA SOFTWARE TECHNOLOGY CO LTD (SHAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.3887	0.0631	4	1	1	1	1
2913	univ bei..ng forestry (uybf-c)	<table><tr><td>UNIV BEIJING FORESTRY (UYBF-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3433	0.1466	4	1	1	1	1
2914	lianwei .. (lian-non-standard)	<table><tr><td>LIANWEI MEDTECH SHANGHAI CO LTD (LIAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.0501	0.8941	4	1	1	1	1
2915	shenzhen polytechnic (shpn-c)	<table><tr><td>SHENZHEN POLYTECHNIC (SHPN-C)</td></tr><tr><td>Peso: 3</td></tr></table>	-0.984	0.0271	4	3	3	3	1
2916	china faw co ltd (fawg-c)	<table><tr><td>CHINA FAW CO LTD (FAWG-C)</td></tr><tr><td>Peso: 2</td></tr></table>	0.9067	0.202	4	2	2	2	1
2917	semicond.. energy lab (seme-c)	<table><tr><td>SEMICONDUCTOR ENERGY LAB (SEME-C)</td></tr><tr><td>Peso: 4</td></tr></table>	-0.3436	-0.5539	10	4	4	4	1
2918	yiqiyin .. (yiqi-non-standard)	<table><tr><td>YIQIYIN HANGZHOU TECHNOLOGY CO LTD (YIQI-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.5175	0.6415	4	1	1	1	1
2919	china zh..bank co ltd (wxjt-c)	<table><tr><td>CHINA ZHESHANG BANK CO LTD (WXJT-C)</td></tr><tr><td>Peso: 1</td></tr></table>	0.4446	-0.0643	4	1	1	1	1
2920	lim s (lims-individual)	<table><tr><td>LIM S (LIMS-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.5284	-0.5455	11	1	1	1	1
2921	stephen c c (step-individual)	<table><tr><td>STEPHEN C C (STEP-Individual)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.682	-0.5577	18	2	2	2	1
2922	dimmock m s (dimm-individual)	<table><tr><td>DIMMOCK M S (DIMM-Individual)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.4749	0.2245	18	2	2	2	1
2923	aitchiso.. e (aitc-individual)	<table><tr><td>AITCHISON G E (AITC-Individual)</td></tr><tr><td>Peso: 2</td></tr></table>	0.9635	0.1286	18	2	2	2	1
2924	kaskada .. (kask-non-standard)	<table><tr><td>KASKADA INC (KASK-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.6149	-0.3648	16	1	1	1	1
2925	chongqin.. (chon-non-standard)	<table><tr><td>CHONGQING NANHUA ZHONGTIAN INFORMATION (CHON-Non-standard)</td></tr><tr><td>Peso: 2</td></tr></table>	0.9468	-0.5411	4	2	2	2	1
2926	focusigh.. (focu-non-standard)	<table><tr><td>FOCUSIGHT JIANGSU TECHNOLOGY CO LTD (FOCU-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.4147	-0.0123	4	1	1	1	1
2927	univ bei.. (uybe-non-standard)	<table><tr><td>UNIV BEIJING LANGUAGE & CULTURE (UYBE-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3478	0.532	4	1	1	1	1
2928	tianjin .. (tian-non-standard)	<table><tr><td>TIANJIN SMART CITY RES INST CO LTD (TIAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3439	-0.4536	4	1	1	1	1
2929	jiangsu .. (jian-non-standard)	<table><tr><td>JIANGSU YEMA SOFTWARE TECHNOLOGY CO LTD (JIAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.1385	0.8455	4	1	1	1	1
2930	luo t (luot-individual)	<table><tr><td>LUO T (LUOT-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.0949	-0.502	4	1	1	1	1
2931	de innov.. (inno-non-standard)	<table><tr><td>DE INNOVATION LAB LTD (INNO-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.9973	-0.3196	8	1	1	1	1
2932	uipath inc (uipa-c)	<table><tr><td>UIPATH INC (UIPA-C)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.0403	-0.2704	6	2	2	2	1
2933	aum s m (aums-individual)	<table><tr><td>AUM S M (AUMS-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.882	0.941	11	1	1	1	1
2934	sino-sin.. (sino-non-standard)	<table><tr><td>SINO-SINGAPORE INT JOINT RES INST (SINO-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.1585	0.703	4	1	1	1	1
2935	ascent t.. (asce-non-standard)	<table><tr><td>ASCENT TECHNOLOGIES INC (ASCE-Non-standard)</td></tr><tr><td>Peso: 3</td></tr></table>	0.0762	0.3794	18	3	3	3	1
2936	shenzhen.. (shen-non-standard)	<table><tr><td>SHENZHEN ZHONGQI SMART CITY TECHNOLOGY (SHEN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.5447	0.1271	4	1	1	1	1
2937	tcl group co ltd (tclc-c)	<table><tr><td>TCL GROUP CO LTD (TCLC-C)</td></tr><tr><td>Peso: 1</td></tr></table>	0.2018	-0.8776	4	1	1	1	1
